Character,Line,Season,Episode_Number,Episode_Number_Overall
Michael, Gotcha. Good. I’d go with the rows. That’s a good idea.  				,1,2,2
Michael," Today is diversity day and someone’s going to come in and talk to us about diversity. It’s something that I’ve been pushing, that I’ve been wanting to push, for a long time and Corporate mandated it. And I never actually talked to Corporate about it. They kind of beat me to the punch, the bastards. But I was going to. And I think it’s very important that we have this. I’m very, very excited.  				",1,2,2
Michael, Did you have a good weekend going there?,1,2,2
Michael," Oh yeah, I bet it was fun. [to Mr. Brown] Oh, hey! This is Oscar—",1,2,2
Michael,"  Right. See? I don’t even know, first-name basis!",1,2,2
Michael," Oh hey, well, diversity, everybody, let’s do it. Oscar works in… here. Jim, could you wrap it up, please?",1,2,2
Michael," It’s diversity day, Jim. I wish every day was diversity day.",1,2,2
Michael," Come on people, let’s get ’em in. Get in the cards! Get in the cards!",1,2,2
Michael," You know what? This is a color-free-zone here. Stanley, I don’t look at you as another race.",1,2,2
Michael, Celebrate good times. Come on! Let’s celebrate diversity. Right?,1,2,2
Michael, You know what? Here’s what we’re going to do. Why don’t we go around and everybody… everybody say a race that you are attracted to sexually. I will go last. Go.,1,2,2
Michael," Hey, hey why don’t you run it by me and I’ll run it by him.",1,2,2
Michael," Ah. Oh, right! OK. First test. I will not call you that.",1,2,2
Michael," How come Chris Rock can do a routine and everybody finds it hilarious and ground-breaking and then I go and do the exact same routine, same comedic timing, and people file a complaint to Corporate? Is it because I’m white and Chris is black?  				",1,2,2
Michael, I will play the Chris Rock guy. I would like to see someone else pull this off.,1,2,2
Michael, Kevin is a great guy. He’s a great accountant. He is not much of an entertainer.  				,1,2,2
Michael," OK. I’m sorry. I’m sorry. He’s ruin… He’s butchering it. Could you just let me… [As Chris Rock] Every time… Every time black people want to have a good time, some ignant ass… [Bleep] I take care of my kid!",1,2,2
Michael, [Bleep] They always want credit for something they supPOSED to do!,1,2,2
Michael, [As Chris Rock] What you want a cookie?  				,1,2,2
Michael, [Clears throat] I don’t think I can sign this.,1,2,2
Michael," Well, OK, it says here that I learned something and I knew all this stuff already, so… I know, I could sign something that says that I taught something, or that I helped you teach something, so… Pam! Where is she? Pam, could we change something on this?",1,2,2
Michael," Here’s the thing. This office, I think this is very advanced in terms of… racial awareness and it’s probably more advanced than you’re used to. That’s probably throwing you off a little bit.",1,2,2
Michael," OK, well I know. You told me that several times.",1,2,2
Michael," Well, here I am thinking that you actually cared about diversity training. And you don’t.",1,2,2
Michael," “I regret my actions. I regret offending my coworkers. I pledge to bring my best spirit of honesty, empathy, respect and open-mindedness…” Open-mindedness, is that even a word? “…into the workplace. In this way, I can truly be a hero. Signed, Daffy Duck.” [Laughing] He’s going to lose it when he reads that.  				",1,2,2
Michael," “I pledge to always keep an open mind and an open heart.” I do believe… in that part of the pledge I that just read. But a pledge? Come on. I mean who are we, the Girl Scouts? No. Look… the guy, “Mr. Brown,” he got us halfway there. He got us talking. Well, no. I got us talking. He got us nothing. He insulted us and he abandoned us. You call that diversity training? I don’t. Were there any connections between any of us? Did anyone look each other in the eye? Was there any emotion going on? No. Where was the heart? I didn’t see any heart. Where was my Oprah moment? OK, get as much done as you can before lunch because, afterward, I’m going to have you all in tears.  				",1,2,2
Michael, All right? Everybody pretty? Come on. Here we go. It’s time. Let’s do some good.,1,2,2
Michael," No, this is not a joke. OK? That was offensive and lame. So double offensive. This is an environment of welcoming and you should just get the hell out of here. OK, let’s go. Let’s do it. Come on. Let’s have some fun, everybody. Here we go. Take a seat. Cop a squat. And um… thanks for coming in. Um… Diversity… is the cornerstone of progress as I’ve always said. But don’t take my word for it. Let’s take a look at the tape.  				",1,2,2
Michael," [on the tape] Hi. I’m Michael Scott. I’m in charge of Dunder Mifflin Paper Products here in Scranton, Pennsylvania but I’m also the founder of Diversity Tomorrow, because today is almost over. Abraham Lincoln once said that, “If you’re a racist, I will attack you with the North.” And those are the principles that I carry with me in the workplace.  				",1,2,2
Michael, Yes. I only had an hour to put it together but I’m going to add on to it later on.,1,2,2
Michael," Uh, yes. That probably had something to do with the camera work. Anybody else? Um…",1,2,2
Michael," Yeah, well, if you leave we’ll only have two left. Yes. Enjoy. Absolutely. Namaste. Ok, well since I am leading this, let’s get down to business and why don’t I just kind of introduce myself, OK? Um. I am Michael and I am part English, Irish, German and Scottish. Sort of a virtual United Nations. But what some of you might not know is that I am also part Native American Indian.",1,2,2
Michael," Well, you know what, it’s kind of hard for me to talk about it. Their suffering. So who else? Let’s get this popping. Come on. Who’s going? Who’s going? Let’s go here. Oscar, right here. You’re on.",1,2,2
Michael," Wow. That is… That is a great story. That’s the American Dream right there, right?",1,2,2
Michael," Um, let me ask you, is there a term besides Mexican that you prefer? Something less offensive?",1,2,2
Michael," …empathy, respect… [Phone ringing] Jim! Jim!",1,2,2
Michael," I have something here. I want you to take a card. Put it on your fore… Don’t look at the card. I want you to take the card and put it on your forehead and… Take a card, take a card, any card. Um… And I want you to treat other people like the race that is on their forehead. OK? So everybody has a different race. Nobody knows what their race is, so… I want you to really go for it, cause this is real. You know, this isn’t just an exercise. This is real life. And… I have a dream that you will really let the sparks fly. Get ‘er done.  				",1,2,2
Michael, Why? Because Martin Luther King is a hero of mine. There’s this great Chris Rock bit about how streets named after Martin Luther King tend to be more violent. I’m not going to do it but it’s…  				,1,2,2
Michael, Good. Bom bom bom-bom bom. Come on Olympics of Suffering right here. Slavery versus the Holocaust. Come on.,1,2,2
Michael," No, that was inadvertent. We didn’t actually plan that.",1,2,2
Michael," Pam, come on. “I like your food.” Come on stir the pot. Stir the melting pot, Pam! Let’s do it. Let’s get ugly. Let’s get real.",1,2,2
Michael," You’ll notice I didn’t have anybody be an Arab. I thought that would be too explosive. No pun intended. But I just though. “Too soon for Arabs.” Maybe next year. Um… You know, the ball’s in their court.  				",1,2,2
Michael, OK. All right. No. It’s good. You just need to push it. You need to go a little bit further. All right. OK.  				,1,2,2
Michael," [Voice raised, Indian accent] Kelly, how are you?",1,2,2
Michael," Oh! Welcome to my convenience store. Would you like some googi googi? I have some very delicious googi, googi, only 99 cents plus tax. Try my googi, googi. [Lowering voice] Try my googi, googi. [High-pitched voice] Try my googi, googi. Try my… [slap!]",1,2,2
Michael," [trying not to cry] All right! All right! Yes! That was great, she gets it! Now she knows what it’s like to be a minority.  				",1,2,2
Michael," I just hated it when that guy was in here. Mr. Brown, if that was his real name. I mean, he had never met any of us before, and here he was telling us how to do our thing. I just wanted… I just wanted to do it our way. You know? On our own. Man I should have gotten some food.",1,2,2
Michael," Okay, Kevin. You can take that off that thing, OK? That would really, really have shown him up, wouldn’t it? If I’d brought in some burritos or some colored greens. Or some pad Thai. I love pad Thai.",1,2,2
Michael," That doesn’t really make sense. Because you don’t call them collared people, that’s offensive. Hmmm… OK, well, it’s after five. So… Thank you very much. Buena vista Oscar. Thank you. Good job. Oh, my man. Thank you Brazil. Nice.  				",1,2,2
Michael," Let’s go. Messages. Stat. Lots to do, lots to do. Information superhighway.",1,3,3
Michael," The most sacred thing I do is care and provide for my workers, my family. I give them money. I give them food. Not directly, but through the money. I heal them. Today, I am in charge of picking a great new health care plan. Right? That’s what this is all about. Does that make me their doctor? Um… Yes, in a way. Yeah, like a specialist.  				",1,3,3
Michael," I am going to go with the best, Jan. I am going to go with the one with the acupuncture, therapeutic massage, you know, the works.",1,3,3
Michael, I think it was you who didn’t look closely enough at the Gold Plan.,1,3,3
Michael," Well, I’d recommend it. It’s very good.",1,3,3
Michael," Well, that is kind of a tough assignment. Um… It won’t be popular decision around the old orifice.",1,3,3
Michael," Well, it’s a suicide mission, you know.",1,3,3
Michael," There’s a decision that needs to be made, and I’m having an unbelievably a busy day. So I’m going to let you pick a health care plan for our office and then explain it to your co-workers.",1,3,3
Michael," Ah, none. You’re picking a health care plan.",1,3,3
Michael, You can use the conference room as a temporary workspace.,1,3,3
Michael," If Dwight fails, then that is strike two, and good for me for, ah, for giving him a second chance. And if he succeeds, then, you know, no one will be prouder than I am. I groomed him. I made him what he is today. Unless he fails, and we’ve talked about that already.  				",1,3,3
Michael," [on phone] Pam, Michael Scott. How’s tricks?",1,3,3
Michael," Oh, I am in my office. I am swamped. I have work up to my ears I’m busy, busy, busy. Can’t step away. I just wanted to check in and see how everybody’s doing. Everybody cool out there?",1,3,3
Michael," Pam! Whoa, whoa, I’m sorry, I’m sorry, I, I, I, I gotta go. I’m getting a call.",1,3,3
Michael," I have to make a call after I finish… my work. You know what? Uh, just don’t let anybody in my office under any conditions today. I’m just too busy. Too swamped, you know? I am unreachable. I am incommunicado, capisce?",1,3,3
Michael," Thank you, Oh, gah, here we go again. Gotta go, I have to take this.",1,3,3
Michael," Ah, uh, I would love to, but I am really busy. Rain check?",1,3,3
Michael," Cuts? What? Wow, Dwight, did you make cuts?",1,3,3
Michael," No, no , no, you know what? I said nothing specific because I was so busy. Why don’t you go in there and find these people a plan that will work for them? OK?",1,3,3
Michael," OK? All right. Do we feel good? All right. Good. Plus, there’s some other good news. Today, at the end of the day, I will have, for all of you, a big surprise. OK? So hang in there, and I will see you at the end of the day. Right?  				",1,3,3
Michael," Do I know what the surprise is? Hell no! It doesn’t matter. The point is, they’re not unhappy anymore. They’re out there thinking, “Wow, my boss really cares about me. He has a surprise. He’s cool. I… what a great guy. I love him. I… ",1,3,3
Michael, You know what? Come with me. We are going on a little mission. Operation Surprise.,1,3,3
Michael," Um, headed out. Part of my busy day, you know. Meetings. [Giggles] Couldn’t find the knob.  				",1,3,3
Michael," So, basically, I want to do something nice for my employees. Atlantic City, OK? They have this thing where they send a bus, right, for free. Picks everybody up, you head down there, get to the hotel, room is comped, they give you a pile of chips, and your food, everything just kind of all-inclusive, free kind of weekend.",1,3,3
Michael," [on his cell phone] Calling you to ask you a little favoroonie my friend. Um, trying to give the troops around here a little bit of a boost. And I was thinking that maybe we could take them down to take a spin on your big ride.",1,3,3
Michael," Uh, all right. Well, once you get down into the mine, what… you got laser tag or something?  				",1,3,3
Michael," OK, so I don’t know what the surprise is. Am I worried? No. No way. See, I thrive on this. This is my world. This is improv. This is Whose Line is it Anyway?   				",1,3,3
Michael," Hey, hey, everybody, Ice-cream sandwiches! Aaaahh! [laughs] Here you go. Take one, take one. It’s all good. Phyllis, think fast. Ya-bome! Oh, oh, I see Angela. Angela? Right? Waaaaah! Oh, hey temp. Why don’t you take two? Because you don’t get health care. And uh, faster metabolism.",1,3,3
Michael," Why don’t you just eat it, OK? And here you go, Stanley the manly.",1,3,3
Michael," Uh, nope. Nope. This isn’t the surprise. It’s surprising, um… because you didn’t expect it. But you will… you’ll know it when you see it.",1,3,3
Michael," Well, what? You could be referring to anything.",1,3,3
Michael," Oh come on! That’s horrible! Aaah… Thanks, Dwight, for a crappy plan. Ah, Damn! Oh, mmm, I wish I had time to change it, but Jan needs it by five, and… what time is it, what time is it? [looks at watch] Ah, it’s after five. Oh, oh it’s awful. So, well, OK. See you guys on Monday.",1,3,3
Michael," Oh… Yes. Exactly. Thank you Angela, for reminding me. Terrific. Um, before I tell everybody what the big surprise is, would you like to tell me what you think the big surprise is?",1,3,3
Michael," All right, I have some news for you. There is a big surprise. And… here it is. Here we go. And the big surprise is… Brrrrrrrr! Drum roll… Brrrrrrrr! Brrrrrrrr!  				",1,3,3
Michael," When I am backed into a corner, that is when I come alive. See I learned improve from the greats, like, um, Drew Carey and Ryan Stiles.  				",1,3,3
Michael," [clapping hands] God, yeah… Ah! This…  				",1,3,3
Michael," Robin Williams. Oh, man, would I love to go head-to-head with him. Oh! That would be exciting. [as Robin Williams] “Hi. I’m Mork from Ork.” Well, I’m Bork from Spork. Nanoo, nanoo. Jibelee, baloobaloo.  				",1,3,3
Michael, Assistant to the regional manager Dwight.,1,4,4
Michael," Look, look, look. I talked to corporate, about protecting the sales staff. And they said they couldn’t guarantee it if there’s downsizing, okay?",1,4,4
Michael," But there’s no downsizing, so just don’t…",1,4,4
Michael," It looks like there’s gonna be downsizing. And it’s part of my job, but… blah! I hate it. I think the main difference between me and Donald Trump is that, uh, I get no pleasure out of saying the words, “You’re fired.” [as Donald Trump] “You’re foir-ed. Uh, you’re foir-ed.” It just makes people sad, and an office can’t function that way. No way. [as Donald Trump] “You’re foir-ed.”  I think if I had a catchphrase it would be, “You’re hired, and you can work here as long as you want.” But that’s unrealistic, so…  				",1,4,4
Michael," Get set for Operation Morale Improvement starring Michael Scott. Now, I think I have had a little stroke of genius in that I have had my assistant Pam… Smile, Pam. I have had her go out and find out whose birthday is coming up, so we can have a little celebration for it. Not bad, not bad at all. All right. And the birthday person is… drum roll please. Here we go, who is the birthday, birthday person?",1,4,4
Michael," Um… uh, OK. Well, great, well, you know, it’ll be a surprise.",1,4,4
Michael," Yeah, why not? Sure. Go ahead, live a little. Come on, Pam. Come on, shake it up. Shake it up! Shake it up!",1,4,4
Michael," [grabs cell phone off desk] Brrrp! Uh, Spock, are there any signs of life down there? Well, let me check Captain. Eeee. Eeee. Eeee. Eeee. No, Captain. No signs of life down here. Just a wet blanket named Pam. Brr-rrrp. Star Trek.  				",1,4,4
Michael, These are my party-planning beeyatches. Pulled off an amazing ’80s party last year. Off the hook!,1,4,4
Michael," So I was thinking, if you haven’t already got a cake, um, maybe going for one of those ice-cream cakes from Baskin-Robbins. Those are very good. Very Delicious.",1,4,4
Michael," She’s not the only one that’s going to be eating it, right? I think everybody likes ice-cream cake. It’s not, uh, it’s not just about her, so…",1,4,4
Michael," Mint chocolate chip! That’d be good, how about some, mint chocolate chip?  				",1,4,4
Michael," [to the camera] Can you get her? She’s right there. [camera zooms in on Meredith at here desk] That is Meredith, the birthday girl. And this… is Meredith’s card. Happy Bird-Day. [laughs] Um, let’s see. Jim, Jim wrote, “Meredith, I heard you’re turning 46, but, come on, you’re an accountant. Just fudge the numbers.” Not bad, pretty funny, I don’t appreciate condoning corporate fraud though. Uh, here’s the thing. Whatever I write here has to be really, really funny. Because people out there are expecting it. I’ve already set the bar really high. And they’re all worried about their jobs, you know. It’s kinda dark out there. Can you imagine if I wrote something like, uh, “Oh, Meredith. Happy Birthday. You’re great. Love, Michael.” [pretends to vomit and laughs]  				",1,4,4
Michael," [staring at birthday card] Meredith, Meredith… Meri… Mary had a little lamb. Mary… Meredith had a little lamb. Don’t bring that lamb to work or it’ll poop on the floor.",1,4,4
Michael," Oh, not at all. Come on in. What’s going on?",1,4,4
Michael," Oh, God. Of course I would. Get it over here. Get that over here.",1,4,4
Michael," No, I’m always good… for some serious buckage. Wow. Two dollars, three dollars? People out here do not care about diseases. I am going to give you… $25.",1,4,4
Michael," Oh, my gosh, well… Listen, Oscar, generosity and togetherness and community all convalescences into… morale. That’s what I say, so…  				",1,4,4
Michael," [looking at birthday card] Meredith, bad breath. Meredith has bad breath.",1,4,4
Michael," There’s not going to be downsizing Dwight, OK? I just, I need to know a little bit more about my friend.",1,4,4
Michael," I know all that. I know all that. I just, I need something kind of embarrassing, you know. Kind of fun, inside.",1,4,4
Michael," Oh God! Dwight, no. I’m trying to write something funny. What am I going to do with a removed uterus?",1,4,4
Michael," You know what, I am on a deadline here, and just… OK. Thanks, thanks for your help. I’ll work it out. Thank you Dwight. That was a waste of time.  				",1,4,4
Michael," Almost there. Just a sec. Just a second. It is perfect, thank you. Excellent, here we go. It is time, thank you. OK, come on. Let’s go! Get the cake. Here we go. Come on! Shhh. Be quiet.  				",1,4,4
Michael," You looked freaked, man. We said “Surprise.” You were, like, “What?” “What the hell’s goin’ on here?” Good cake. Why don’t you have some?",1,4,4
Michael," You know what? If I were allergic to dairy, I think I’d kill myself. ‘Cause this is way, way too good.  				",1,4,4
Michael," Jim, good party, huh? Just a little something I whipped up. You know, a little morale boost. No big deal.",1,4,4
Michael," Well, you know, money isn’t everything Jim. It’s not the key to happiness. You know what is? Joy. You should remember that. Maybe you’ll give more than three dollars next time.",1,4,4
Michael," I just thought it was kind of a flat, you know… 25 dollar, one-time donation. I didn’t think it was per mile kinda deal. You know, so…",1,4,4
Michael," No, no, no, no, no. That wasn’t what I wasn’t, that wasn’t… No. It-it-it’s not about the money. It’s just… it… it’s the ethics of the thing, Oscar. How’s your nephew? Is he in good shape?",1,4,4
Michael, Son of a bitch. That is impressive.  				,1,4,4
Michael, Read it out loud. And say who wrote everything so we know whose is the best.,1,4,4
Michael, [under his breath] I don’t know about that.,1,4,4
Michael," [pretends to vomit] Huh! Thanks, downer.",1,4,4
Michael, Because of the downsizing. Rumors. And because you’re gettin’ old.,1,4,4
Michael," [laughs] You didn’t get the joke. So, that’s cool. That’s, you know what? Actually… I have a bunch of these, good ones, that I didn’t use. Um… Oh, where’s that? Oh, OK, here’s a good one. Um… “Hey Meredith, Liz Taylor called, she wants her age back and her divorces back.” ‘Cause Meredith’s been divorced like, twice. Is that right?",1,4,4
Michael, Everybody? If… could do it? “Meredith is so old…”,1,4,4
Michael," “She’s so old, she went into an antique store and they kept her.”",1,4,4
Michael," That wasn’t even mine. I got that off the Internet. Website. Um, don’t get mad at me.",1,4,4
Michael," This isn’t my fault. Ladies, not your best effort. The streamers?  I think we could have done better than that.",1,4,4
Michael," OK, we… all right. People, hold on, hold on. Just a second. OK, I think we’re losing sight of what is really important here. And that is that we are… a group of people… who work together. I was… I really wasn’t gonna flaunt this. I have made a very sizable donation to Oscar’s nephew’s… walkathon. $25.",1,4,4
Michael," When I retire, I… don’t want to just disappear to an island somewhere. I wanna be the guy who gives everything back.  				",1,4,4
Michael," A check for the kids, and for the team.   				",1,4,4
Michael," I want it to be like… “Hey, who donated that hospital wing that is saving so many lives?” “Um, well, I don’t, I don’t know. It was anonymous.” “Well, guess what, [whispering] that was Michael Scott.”  “But it was anonymous, how do you know?” “Because I’m him.”  				",1,4,4
Michael," Come here. [hugs Oscar and In a low voice] Don’t cash that till Friday, OK?  				",1,4,4
Michael," Today at lunchtime we’re going to be playing the warehouse staff at a friendly little game of basketball. My idea.  Last time I was down there, I noticed they’d put up a couple of hoops, and I play basketball every weekend. So I thought, “This might be kinda fun.”  And so I started messing around and… I’m sinking a few, you know. Swish, swish, swish. Nothing but net. And their jaws just dropped to the floor. African-Americans! So… you know, it’s really just a good friendly game, a reason to get together.  				",1,5,5
Michael," Pam, Pam, thank you ma’am. Messages, please. Thank you.",1,5,5
Michael," No. And that’s not me being mean, Dwight. That is based on your past behavior.",1,5,5
Michael, [to camera] When I let him come to my pick-up game…,1,5,5
Michael," I vouched for you in front of Todd Packer, Dwight.  All right, here’s what I’m going to do. The hand strikes and gives a flower. You are not going to play basketball. But I need somebody to come in and take over the holiday and weekend work calendar.",1,5,5
Michael," Good. Excellent, it’ll be fun. Because corporate, uh, wants someone to be here on Saturday. And so we’re going to have to have some people come in on the weekend, and I know nobody’s gonna want to do it and I know everybody’s gonna complain and bitch and I don’t want to have to deal with that.",1,5,5
Michael, Yes it is. Assistant to  the regional manager.,1,5,5
Michael," All right, managing by walking around. This is our warehouse. Or, as I like to call it, the whorehouse. But don’t you call it that, I’ve earned the right.",1,5,5
Michael," And here we have “Mister Roger’s Neighborhood.” Come on over here. Hey, this is Ryan. He’s temping upstairs.",1,5,5
Michael, And this is the foreman. Mista Ra-jahs.,1,5,5
Michael," No, it’s Darryl. Darryl is Mista Ra-jahs.",1,5,5
Michael," [laughs] And that is Lonny. And this is Roy. Roy dates Pam. You know, the uh, the best looking one upstairs.",1,5,5
Michael," You still getting it regular man? Huh? I mean, I can tell her it’s part of the job!  Rapport!  				",1,5,5
Michael," So, um, one o’clock sharp and we’ve got a game on.",1,5,5
Michael," Oh, I see, you’re chickening out on me. You’re bailing on me.",1,5,5
Michael," Oh, well, I’m glad that some time is a busy time because whenever I’m down here it doesn’t seem too busy to me. Oh, oh. You can dish it out, but you can’t take it. OK, fine, have it your way. [clucking and dancing like a chicken]",1,5,5
Michael," I… yeah, yeah. I know, grumble, grumble. But you would follow me to the ends of the earth, grumbling all the way. Like that, uh, dwarf from Lord of the Rings.",1,5,5
Michael, Nerd. That is why you’re not on the team.,1,5,5
Michael," Uh, [in a nerdy voice] “I’ll help, Elwyn Dragonslayer, uh, ten points, power sword.”",1,5,5
Michael," OK, so, let’s put together a starting line-up, shall we? Stanley of course.",1,5,5
Michael," Uh, I don’t know. I don’t remember saying that.",1,5,5
Michael," Well, people hear a lot of things, man. Um… other starters… Me, of course. I heard it that time.",1,5,5
Michael," [ignores Phyllis)] Um… Yeah. Who else? We have Jim. We have Ryan, the new guy, right? Untested. Willing to prove himself now. A lot of passion, a lot of heart.",1,5,5
Michael," Yes, this is business. The, uh, business of team building and morale boosting. Uh, who else?",1,5,5
Michael," I will use your talents come baseball season, my friend. Or if we box.",1,5,5
